pkey;key;guid;pubDate;title;description;category;link
4211;pesti_sracok;https://pestisracok.hu/?p=542200;Soros György;Tűzfalcsoport: Soros médiaszakértője nem érzi a mértéket;https://pestisracok.hu/tuzfalcsoport-soros-mediaszakertoje-nem-erzi-a-merteket/;Mon, 27 Jan 2020 10:17:06 +0000;"A Tűzfalcsoport Blogstar oldal legfrissebb cikkének főszereplője dr. Polyák Gábor, a Mérték Médiaelemző Műhely vezetője. A cikk megállapítása szerint a „műhely” nem vádolható éppen függetlenséggel, a partnerei között a fő támogató helyén a Nyílt Társadalom Alapítvány szerepel, együttműködő partnereik között pedig megtalálható az Átlátszó (ahol személyi összefonódás is van), a CEU, a TASZ, és az [&#8230;]"
4212;pesti_sracok;https://pestisracok.hu/?p=542198;választások;Salviniék győztek Calabriában, a baloldal maradt Emilia Romagnában;https://pestisracok.hu/salviniek-gyoztek-calabriaban-a-baloldal-maradt-emilia-romagnaban/;Mon, 27 Jan 2020 09:44:35 +0000;"A majdnem végleges eredmények szerint a baloldal által a tartományi elnöki tisztségre jelölt Stefano Bonaccini a voksok több mint 51 százalékát szerezte meg az észak-olaszországi Emilia Romagna tartományban a vasárnap rendezett regionális választásokon, míg a jobboldali Liga párt jelöltje, Lucia Borgonzoni 43,7 százalékot szerzett. A déli Calabria tartományban a jobbközép több mint 55  százalékos győzelmet aratott. [&#8230;]"
4213;pesti_sracok;https://pestisracok.hu/megsem-protesztszavaztak-az-osszeszerelouzem-lakoi/;Tutiblog;Mégsem protesztszavaztak az összeszerelő üzem lakói;https://pestisracok.hu/megsem-protesztszavaztak-az-osszeszerelouzem-lakoi/;Mon, 27 Jan 2020 09:29:11 +0000;"Mint azt már mindenki tudja, a győri időközi önkormányzati választáson a Fidesz jelöltje sima győzelmet aratott. 56-39 arányban verte meg a szélsőbaloldaltól a szélsőbaloldalig tartó (!!!) ellenzéki összefogás jelöltjét. Van néhány váratlan és messzire vivő tanulsága ennek a választásnak, erről lesz szó alább. Dézsi Csaba Andrásra nemhogy elődje, Borkai Zsolt pucér segge nem égett rá, [&#8230;]"
4214;pesti_sracok;https://pestisracok.hu/?p=542169;polgárőrség;Több mint félezer migráns elfogásában segítettek a polgárőrök;https://pestisracok.hu/tobb-mint-felezer-migrans-elfogasaban-segitettek-a-polgarorok/;Mon, 27 Jan 2020 07:47:10 +0000;"Több mint félezer migráns elfogásában segítettek a polgárőrök &#8211; mondta Csaplár Zoltán, az Országos Polgárőr Szövetség önkormányzati elnökhelyettese hétfő reggel az M1 aktuális csatornán. Határvédelmi tagozatuk 2016-os megalakítása óta 1719 polgárőr vett részt a déli határ védelmében, ezalatt több mint 155 ezer munkaórát teljesítettek és több mint 1500 alkalommal adtak olyan jelzéseket, amelyek segítségével a [&#8230;]"
4215;pesti_sracok;https://pestisracok.hu/?p=542167;Indonézia;A magyar gazdasági növekedés lett Európa legnagyobbja;https://pestisracok.hu/a-magyar-gazdasagi-novekedes-lett-europa-legnagyobbja/;Mon, 27 Jan 2020 07:20:44 +0000;"Nagy sikert aratott a nagycsaládosok autóvásárlási programja, a jelentkezők elárasztották a kereskedéseket. A héten fontos megállapodás jött létre, hiszen közös befektetési alapot hoz létre Indonézia és Magyarország, írja az Origo. Magyar Levente, a Külgazdasági és Külügyminisztérium parlamenti államtitkára a héten bejelentette a dán Vestfrost Zrt. új, 4,7 milliárd forintból elkészült csongrádi gyártócsarnokának avatóünnepségén, hogy Magyarország [&#8230;]"
4216;pesti_sracok;https://pestisracok.hu/?p=542165;Románia;Figyelmeztető lövésekkel állítottak meg két migránst a román-magyar határon;https://pestisracok.hu/figyelmezteto-lovesekkel-allitottak-meg-ket-migranst-a-roman-magyar-hataron/;Mon, 27 Jan 2020 06:58:27 +0000;"Román határrendészek figyelmeztető lövésekkel állítottak meg két határsértőt szombat éjszaka a román-magyar zöld határon, a Szatmár megyei Óvári (Oar) térségében &#8211; olvasható a 888.hu-n. Az esetről a román határrendészet számolt be honlapján vasárnap. A határrendészek szombaton 23 óra körül figyeltek fel két férfire, akik gyalog haladtak Magyarország felé. A két határsértő nem állt meg a [&#8230;]"
4217;pesti_sracok;https://pestisracok.hu/?p=542163;koronavírus;Rohamosan emelkedik Kínában a halottak és betegek száma;https://pestisracok.hu/rohamosan-emelkedik-kinaban-a-halottak-es-betegek-szama/;Mon, 27 Jan 2020 06:17:26 +0000;"Rohamosan emelkedik Kínában a koronavírus halottainak és válságos állapotú betegeinek száma. Vasárnap estére már 80-an haltak bele a betegségbe, reggel még 56 volt a ragály halottainak száma. A Nemzeti Egészségügyi Bizottság közlése szerint válságos állapotba estére 461 beteg került, reggel még 324 volt a számuk. Mindeközben több mint megkétszereződött, már csaknem hatezerre emelkedett a járvány [&#8230;]"
4218;pesti_sracok;https://pestisracok.hu/pihenni-soha-busa-pistaval-beszelgettunk-akinek-az-elmult-evben-negy-vinyl-lemeze-jelent-meg/;Busa Pista;“Pihenni? Soha!” – Busa Pistával beszélgettünk, akinek az elmúlt évben négy vinyl lemeze jelent meg;https://pestisracok.hu/pihenni-soha-busa-pistaval-beszelgettunk-akinek-az-elmult-evben-negy-vinyl-lemeze-jelent-meg/;Mon, 27 Jan 2020 05:47:18 +0000;"Nemrég jelent meg a 40. születésnapját ünneplő Busa Pista negyedik (!) 2019-ben publikált vinyl lemeze, a MXB  projekt XXXX című anyaga. Ez finoman szólva is rekord a magyar popzene történetében, hiszen négy önálló albumról van szó, még ha vannak közöttük válogatások is. Naná, aki több, mint ezer számot készített már élete során&#8230; Busa Pistával beszélgettünk.  [&#8230;]"
4219;pesti_sracok;https://pestisracok.hu/?p=542161;migráció;Több mint száz határsértőt tartóztattak fel a hétvégén a déli határon;https://pestisracok.hu/tobb-mint-szaz-hatarsertot-tartoztattak-fel-a-hetvegen-a-deli-hataron/;Mon, 27 Jan 2020 05:34:55 +0000;"124 határsértővel szemben intézkedtek a rendőrök és katonák péntektől vasárnapig &#8211; tájékoztatta az Országos Rendőr-főkapitányság hétfőn az MTI-t. A rendőrség honlapján olvasható statisztika szerint pénteken 24, szombaton 28, vasárnap 61 jogellenesen az ország területén tartózkodó külföldit tartóztattak fel és kísértek át az ideiglenes biztonsági határzáron. A román határszakaszon 11 illegális bevándorlót fogtak el, embercsempészés miatt [&#8230;]"
4220;pesti_sracok;https://pestisracok.hu/?p=542159;Forró drót;Szoros eredmény várható a az olasz tartományi választásokon;https://pestisracok.hu/szoros-eredmeny-varhato-a-az-olasz-tartomanyi-valasztasokon/;Mon, 27 Jan 2020 05:12:32 +0000;"A baloldal előnyét mutatták az első exitpoll-eredmények Olaszország Emilia Romagna tartományában vasárnap tartott választáson. A RAI olasz közszolgálati rádió-televízió közlése szerint az este 11 órai urnazáráskor rendelkezésre álló exitpoll-adatok szerint a baloldal jelöltje Stefano Bonaccini 47-51 százalék között teljesített, miközben a Matteo Salvini vezette jobboldal színeiben indult Lucia Borgonzoni 44-48 százalék között állt. Az első [&#8230;]"
